date,total,image_and_video,web_search,audio_gen,CLAUDE_V4_5_HAIKU_THINKING,CLAUDE_V4_5_SONNET,CLAUDE_V4_5_OPUS,CLAUDE_V4_5_OPUS_THINKING,GEMINI_2_5_FLASH,OPENAI_GPT5_2,Document Processing,OPENAI_GPT4O_MINI,XAI_GROK_4_1_FAST,OPENAI_GPT5_2_INSTANT,ABACUS_SMAUG2,GEMINI_3_FLASH,OPENAI_GPT5_2_THINKING,DEEPSEEK_V3_2,KIMI_K2,QWEN3_MAX,ZAI_GLM_4_7,SONAR_PRO,Deep Agent
2026-01-17,176.28,0,0,0,31.51,144.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-15,3126.35,39.1,63.0,0,0,0,1386.15,128.55,6.18,1493.74,2.5,0.26,6.87,0,0,0,0,0,0,0,0,0,0
2026-01-14,4938.87,0.0,85.5,0,0,0,0,0,35.76,4767.71,0.6,0.37,48.93,0,0,0,0,0,0,0,0,0,0
2026-01-13,1698.14,0.0,22.5,0,0,0,0,0,19.38,1523.7,0,0.11,20.38,112.07,0,0,0,0,0,0,0,0,0
2026-01-12,1150.97,0.0,9.0,0,0,0,0,0,0,194.98,15.18,0.16,7.22,924.31,0.12,0,0,0,0,0,0,0,0
2026-01-11,2253.99,0.0,13.5,0,0,0,0,0,0,179.2,0,0.15,37.3,1900.16,0,16.44,107.24,0,0,0,0,0,0
2026-01-10,1482.9,0.0,117.0,0,0,0,0,0,50.98,268.36,7.07,0.32,16.07,810.76,1.84,4.67,0,26.28,53.82,45.13,80.6,0,0
2026-01-09,480.6,0,4.5,0,0,0,0,0,0,90.28,3.53,0.1,0,309.29,0,0,0,0,0,0,14.37,58.53,0
2026-01-06,2338.61,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,2337.95
2026-01-03,86.43,0,13.5,0,0,0,0,0,0,71.52,0,0.08,0,0,1.33,0,0,0,0,0,0,0,0
2026-01-02,21.99,0,0,0,0,0,0,0,0,21.99,0,0,0,0,0,0,0,0,0,0,0,0,0
