MonthlyIncome,FederalMonthlyTax,StateMonthlyTax
0,0.0,0.0
50,0.0,0.0
100,0.0,0.0
150,0.0,0.0
200,0.0,0.0
250,0.0,0.0
300,0.0,0.0
350,0.0,0.0
400,0.0,0.0
450,0.0,0.0
500,0.0,0.0
550,0.0,0.0
600,0.0,0.0
650,0.0,0.0
700,0.0,0.0
750,0.0,0.0
800,0.0,0.0
850,0.0,0.0
900,0.0,0.0
950,0.0,0.0
1000,0.0,0.0
1050,0.0,0.0
1100,0.0,0.0
1150,0.0,0.0
1200,0.0,0.0
1250,0.0,0.0
1300,0.0,0.0
1350,3.75,1.95
1400,8.75,4.54
1450,13.75,7.14
1500,18.75,9.73
1550,23.75,12.33
1600,28.75,14.92
1650,33.75,17.52
1700,38.75,20.11
1750,43.75,22.71
1800,48.75,25.3
1850,53.75,27.9
1900,58.75,30.49
1950,63.75,33.09
2000,68.75,35.68
2050,73.75,38.28
2100,78.75,40.87
2150,83.75,43.47
2200,88.75,46.06
2250,94.17,48.66
2300,100.17,51.25
2350,106.17,53.85
2400,112.17,56.44
2450,118.17,59.04
2500,124.17,61.63
2550,130.17,64.23
2600,136.17,66.82
2650,142.17,69.42
2700,148.17,72.01
2750,154.17,74.61
2800,160.17,77.2
2850,166.17,79.8
2900,172.17,82.39
2950,178.17,84.99
3000,184.17,87.58
3050,190.17,90.18
3100,196.17,92.77
3150,202.17,95.37
3200,208.17,97.96
3250,214.17,100.56
3300,220.17,103.15
3350,226.17,105.75
3400,232.17,108.34
3450,238.17,110.94
3500,244.17,113.53
3550,250.17,116.13
3600,256.17,118.72
3650,262.17,121.32
3700,268.17,123.91
3750,274.17,126.51
3800,280.17,129.1
3850,286.17,131.7
3900,292.17,134.29
3950,298.17,136.89
4000,304.17,139.48
4050,310.17,142.08
4100,316.17,144.67
4150,322.17,147.27
4200,328.17,149.86
4250,334.17,152.46
4300,340.17,155.05
4350,346.17,157.65
4400,352.17,160.24
4450,358.17,162.84
4500,364.17,165.43
4550,370.17,168.03
4600,376.17,170.62
4650,382.17,173.22
4700,388.17,175.81
4750,394.17,178.41
4800,400.17,181.0
4850,406.17,183.6
4900,412.17,186.19
4950,418.17,188.79
5000,424.17,191.38
5050,431.21,193.98
5100,442.21,196.57
5150,453.21,199.17
5200,464.21,201.76
5250,475.21,204.36
5300,486.21,206.95
5350,497.21,209.55
5400,508.21,212.14
5450,519.21,214.74
5500,530.21,217.33
5550,541.21,219.93
5600,552.21,222.52
5650,563.21,225.12
5700,574.21,227.71
5750,585.21,230.31
5800,596.21,232.9
5850,607.21,235.5
5900,618.21,238.09
5950,629.21,240.69
6000,640.21,243.28
6050,651.21,245.88
6100,662.21,248.47
